image_dir,description,text
data\output\divide_images_train\Capitulo 12-2\Comic12-2_001\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_001\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_1.jpg,,BAAM!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_2.jpg,,AGHH!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_4.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_2.jpg,,KABOOOM!!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_4.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_5.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_006\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_006\panel_2.jpg,,AGARRA
data\output\divide_images_train\Capitulo 12-2\Comic12-2_007\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_007\panel_2.jpg,,PAM!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_3.jpg,,NGH...
data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_1.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_3.jpg,,¡¡TE MATARÉ!!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_1.jpg,,¡INTENTALO!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_2.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_3.jpg,,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_1.jpg,,PLAF!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_2.jpg,,SÓLO ERES RABIA Y MÚSCULO
data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_3.jpg,,NO HE TENIDO NI QUE USAR MIS ARMAS
