image_dir,description,text
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_1.jpg,,!
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_2.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_3.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_4.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_002\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_002\panel_2.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_003\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_003\panel_2.jpg,,¡AY!
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_2.jpg,,¿QUÉ NARICES TE PASA?
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_3.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_2.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_3.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_006\panel_1.jpg,,DÉJALO.VAMOS...
data\output\divide_images_train\Capitulo 9\Comic9_006\panel_2.jpg,,NO PUDIMOS EVITARLO...
data\output\divide_images_train\Capitulo 9\Comic9_007\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_007\panel_2.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_2.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_3.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_009\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_009\panel_2.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_010\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_2.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_3.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_012\panel_1.jpg,,
data\output\divide_images_train\Capitulo 9\Comic9_012\panel_2.jpg,,
